,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time,clust,ClustName
16,17,4,MP_ppSOE,0.0016868576716341788,0.004026697428655177,491.0,145.79401985062242,150.45548653119502,1573.9807350635529,3,IA
17,18,4,MP_ppSOE,0.023740848957743976,0.0017465077056955242,197.0,76.38774952232596,81.04921620289862,1991.2149431705475,3,IA
18,19,4,MP_ppSOE,0.023331197994437305,0.049329783605822214,116.0,36.137120662322545,40.79858734289522,2017.7128660678864,3,IA
19,20,4,MP_ppSOE,0.04270881806639559,0.0014478838687788517,92.0,18.520197993965894,23.181664674538563,1852.5084688663485,2,MO
20,21,4,MP_ppSOE,0.03459521520582026,0.09221671963669206,140.0,50.42909025654596,55.090556937118606,1577.486377954483,3,IA
21,22,4,MP_ppSOE,0.10049389800783144,0.0013130316642299947,191.0,74.03704666978271,78.69851335035536,1849.864722967148,2,MO
22,23,4,MP_ppSOE,0.27211940079596425,-0.09134736084956233,514.0,149.2732343128314,153.93470099340402,1984.170695066452,2,MO
23,24,4,MP_ppSOE,0.0035781867919747507,0.08504002211767495,2227.0,260.7034768497988,265.36494353037153,1773.0993509292605,3,IA
24,25,4,MP_ppSOE,0.010948502016742743,0.010254742929325836,400.0,130.21557171844546,134.87703839901812,1900.033264875412,3,IA
25,26,4,MP_ppSOE,0.24898476752065296,-0.09927211608749376,797.0,182.6092217262952,187.27068840686783,1899.3846681118011,2,MO
26,27,4,MP_ppSOE,0.031442795556439584,-0.00015741472612168517,337.0,117.19056884501829,121.85203552559099,1918.152839899063,2,MO
27,28,4,MP_ppSOE,0.03297061945279571,0.0006607882227971537,296.0,107.33158466686744,111.99305134744007,1840.649254798889,2,MO
28,29,4,MP_ppSOE,0.026203750244249358,0.048686438046114194,607.0,161.91245425876068,166.5739209393334,2039.6122019290924,3,IA
29,30,4,MP_ppSOE,0.4962462349005938,-0.06589770730159547,527.0,151.17150782738238,155.83297450795504,2257.0957989692693,0,GR
30,31,4,MP_ppSOE,0.2431206157808158,-0.09612016143234198,222.0,85.46774716053207,90.12921384110471,1900.2752771377563,2,MO
31,32,4,MP_ppSOE,0.2253340628394581,-0.056692813112507935,3082.0,285.3976513451235,290.0591180256962,2511.4044449329376,2,MO
32,33,4,MP_ppSOE,0.02379811430249426,0.03916398145005487,353.0,120.71583846516941,125.37730514574206,2780.7263221740723,3,IA
33,34,4,MP_ppSOE,0.09029453853290127,0.06933475771620567,94.0,20.154669590759138,24.8161362713318,2666.5960581302647,3,IA
34,35,4,MP_ppSOE,0.20319268485567896,0.014440731334223963,443.0,137.97556866166914,142.63703534224183,2713.298047065735,2,MO
35,36,4,MP_ppSOE,0.3420396067681709,0.018822471109406543,225.0,86.48789670577476,91.14936338634745,2638.7214391231532,2,MO
36,37,4,MP_ppSOE,0.3006449240280793,-0.09384616288841656,584.0,158.9767408331841,163.63820751375675,2768.4137308597565,2,MO
37,38,4,MP_ppSOE,0.2770131633041835,-0.09970339143811337,151.0,56.1775337361731,60.83900041674575,2729.230714082718,2,MO
38,39,4,MP_ppSOE,0.1733925248801751,-0.02890740805980213,241.0,91.70883308352863,96.37029976410128,2786.138432025909,2,MO
39,40,4,MP_ppSOE,0.4202625599409165,-0.09003613099571,220.0,84.77995966101831,89.44142634159098,2779.755118846893,0,GR
40,41,4,MP_ppSOE,0.24359404579757685,-0.044159833433103673,247.0,93.57777972196513,98.23924640253776,2708.710067987442,2,MO
41,42,4,MP_ppSOE,0.18365577923790052,-0.08504893006927741,290.0,105.77521628475834,110.436682965331,2856.720428943634,1,GA
42,43,4,MP_ppSOE,0.4962070323562143,0.028621410608318326,0.0,-inf,-inf,3066.361580133438,0,GR
43,44,4,MP_ppSOE,0.01949024328819815,0.010293883699088721,449.0,138.99800560665017,143.65947228722285,2807.715947151184,3,IA
44,45,4,MP_ppSOE,0.15628059393527172,0.04357645039286162,515.0,149.4209505886828,154.08241726925542,2748.115655899048,3,IA
45,46,4,MP_ppSOE,0.2301359300553457,-0.0937791258592818,350.0,120.06718587898176,124.72865255955442,2650.8567540645604,2,MO
46,47,4,MP_ppSOE,0.11173700100584284,0.04810476685157256,418.0,133.56085501012032,138.22232169069298,2713.7745060920715,3,IA
47,48,4,MP_ppSOE,0.11007231260530463,-0.0009144583502467564,201.0,77.9154391507286,82.57690583130125,2653.488070011139,2,MO
48,49,4,MP_ppSOE,0.04609051160621636,0.00016838834688137627,258.0,96.88919459228175,101.5506612728544,2369.244518995285,2,MO
49,50,4,MP_ppSOE,0.3010356321997445,-0.09769974079332228,1418.0,226.3964718772364,231.05793855780902,2669.1598200798035,2,MO
50,51,4,MP_ppSOE,0.03437003907657316,0.0025510599752338503,266.0,99.20998560564794,103.87145228622065,2898.5277910232544,2,MO
51,52,4,MP_ppSOE,0.4028179456740851,0.026699747635189897,156.0,58.653322689203655,63.314789369776314,2713.580914974213,0,GR
52,53,4,MP_ppSOE,0.19936723742432844,0.045535884304244933,1648.0,237.82041213391446,242.4818788144872,2465.189256191253,2,MO
53,54,4,MP_ppSOE,0.2399199847020821,-0.042264950562092486,179.0,69.1055873821362,73.76705406270888,2674.602028131485,2,MO
54,55,4,MP_ppSOE,0.02497067417300192,0.011382504683442568,584.0,158.9767408331841,163.63820751375675,2727.6997480392456,3,IA
55,56,4,MP_ppSOE,0.012182048338282295,-0.06041608207750605,9.0,-158.1466659842085,-153.48519930363585,3624.40655708313,1,GA
56,57,4,MP_ppSOE,0.15064466463516465,-0.032415814018972984,530.0,151.60291863574756,156.26438531632022,2730.1916480064388,2,MO
57,58,4,MP_ppSOE,0.02809260763197463,-0.0001651906537757375,246.0,93.26946286909842,97.93092954967108,2968.414051055908,2,MO
58,59,4,MP_ppSOE,0.4972403137848836,0.04604638950096454,0.0,-inf,-inf,3131.603553056717,0,GR
59,60,4,MP_ppSOE,0.1418509908393718,0.006353776435597841,214.0,82.67844327989955,87.3399099604722,1963.4835169315336,2,MO
60,61,4,MP_ppSOE,0.17688942663532595,0.0674190278956373,146.0,53.618369388072395,58.27983606864507,2070.1722857952122,3,IA
61,62,4,MP_ppSOE,0.4545477418083576,0.01978819508526133,340.0,117.86413307661456,122.52559975718724,2123.103070020676,0,GR
62,63,4,MP_ppSOE,0.3695442859659129,-0.08155407872062348,704.0,173.17942120625008,177.84088788682274,2018.6918869018555,2,MO
63,64,4,MP_ppSOE,0.04900333722761329,0.06293002841083953,121.0,39.344347603591146,44.00581428416382,2139.0648519992833,3,IA
64,65,4,MP_ppSOE,0.2396825081331064,-0.04735191130252425,129.0,44.21000886972593,48.87147555029858,2059.021681070328,2,MO
65,66,4,MP_ppSOE,0.17484892269826996,0.003986748326503686,104.0,27.83797447298317,32.49944115355582,2049.8772869110107,2,MO
66,67,4,MP_ppSOE,0.015339522263974703,-0.0036108537636223015,346.0,119.19361304262587,123.85507972319854,2263.1989679336552,1,GA
67,68,4,MP_ppSOE,0.0983656373460597,0.0024447193505598877,280.0,103.10827597910179,107.76974265967444,2014.968360900879,2,MO
68,69,4,MP_ppSOE,0.0031248318224685323,0.09503447629213203,677.0,170.20728287957175,174.86874956014444,2026.5572218894958,3,IA
69,70,4,MP_ppSOE,0.2390096295087848,-0.06655231385445735,109.0,31.40670518765376,36.068171868226415,2115.0599370002747,2,MO
70,71,4,MP_ppSOE,0.05196697845103719,0.07176678675123968,145.0,53.09603056220249,57.757497242775145,2035.199105024337,3,IA
71,72,4,MP_ppSOE,0.36765610468361537,0.037125680664324236,1471.0,229.1852929039481,233.84675958452075,2128.684453010559,0,GR
72,73,4,MP_ppSOE,0.4178575125009471,-0.0955500246055862,553.0,154.83147425393628,159.49294093450894,2239.335536003113,0,GR
73,74,4,MP_ppSOE,0.3680440743724364,-0.09978089222483646,478.0,143.7546818075895,148.41614848816215,2032.6625671386719,2,MO
74,75,4,MP_ppSOE,0.1491781438262355,-0.07434072364928032,707.0,173.50259674637837,178.16406342695103,2103.811266899109,1,GA
